,precio,fecha_constr,lat,lon
677,900000,1945.0,41.3917810,2.1703680
679,978000,1918.0,41.3879072,2.1648641
680,430000,1972.0,41.3977319,2.1735511
681,949000,1945.0,41.3877000,2.1669000
682,1975000,1930.0,41.3933100,2.1663800
687,750000,1887.0,41.3940530,2.1598980
688,990000,1936.0,41.3956000,2.1582200
689,450000,1954.0,41.4009980,2.1682186
691,745000,1926.0,41.3986488,2.1641635
692,430000,1972.0,41.3977319,2.1735511
694,1280000,1946.0,41.3933910,2.1636940
696,1000000,2005.0,41.3920000,2.1757300
697,450000,1954.0,41.3989796,2.1707271
700,890000,1910.0,41.3878424,2.1623187
701,650000,2017.0,41.3867300,2.1651200
702,450000,1940.0,41.3873858,2.1659998
710,450000,1954.0,41.3989796,2.1707271
712,640000,1900.0,41.3895000,2.1626000
714,1690000,2016.0,41.3934500,2.1586800
715,1200000,1900.0,41.3897450,2.1624230
717,549000,1892.0,41.3880300,2.1678600
718,300000,1900.0,41.3981200,2.1703700
719,635000,2013.0,41.3887100,2.1646500
721,795000,1936.0,41.3926390,2.1537300
722,545000,1890.0,41.3932090,2.1580198
723,430000,1972.0,41.3977978,2.1736540
724,570000,1880.0,41.3902100,2.1620400
725,545000,1890.0,41.3911640,2.1602438
726,430000,1972.0,41.3977978,2.1736540
727,730000,1900.0,41.3988871,2.1645505
728,1390000,1900.0,41.3944754,2.1559836
729,450000,1954.0,41.3989647,2.1702735
731,340000,1900.0,41.3823705,2.1640527
733,445000,1890.0,41.3892936,2.1631342
734,1200000,1920.0,41.3872615,2.1656889
736,492000,1850.0,41.3989331,2.1741475
741,645000,1900.0,41.3886171,2.1714346
743,700000,1900.0,,
745,1600000,2019.0,,
746,1390000,2006.0,41.3953630,2.1602640
749,978000,1918.0,41.3894523,2.1667678
751,895000,1900.0,41.3926780,2.1760860
752,3650000,1900.0,41.3988670,2.1676470
753,990000,1900.0,41.3922800,2.1679380
755,369000,1962.0,41.3971100,2.1717000
758,425000,1930.0,41.4007570,2.1690670
759,1325000,1886.0,41.3883647,2.1647450
760,1900000,1886.0,41.3883647,2.1647450
761,1200000,1886.0,41.3883647,2.1647450
762,1900000,1986.0,41.3886043,2.1613957
763,990000,1910.0,41.3955140,2.1628870
764,949000,1945.0,41.3878526,2.1666286
765,1400000,2005.0,,
766,430000,1972.0,41.3984113,2.1731710
768,745000,1926.0,,
771,590000,1868.0,41.3886100,2.1714400
772,640000,1900.0,41.3894610,2.1625980
778,965000,1900.0,41.4020916,2.1637388
781,935000,1994.0,41.3981060,2.1725090
782,995000,1900.0,,
783,450000,1981.0,41.3990670,2.1743450
786,368000,1963.0,41.3886434,2.1774075
787,682000,1900.0,41.4015461,2.1677959
790,1395000,1899.0,41.3909050,2.1748550
791,730000,1900.0,41.3980966,2.1686223
793,1050000,1920.0,41.3954650,2.1710700
794,415000,1940.0,41.4003000,2.1713100
797,835000,1970.0,41.3942840,2.1724060
798,450000,1954.0,41.3989513,2.1707478
800,390000,1900.0,41.3981000,2.1703600
801,375000,1973.0,41.3986769,2.1646882
802,1540000,1920.0,41.3954650,2.1710700
803,820000,1900.0,41.3922800,2.1679380
805,390000,1900.0,41.3930620,2.1738040
806,895000,1986.0,,
817,425000,2000.0,41.3953300,2.1638300
818,375000,1973.0,41.3986769,2.1646882
825,550000,1900.0,41.3964100,2.1746950
826,1080000,1920.0,41.3954650,2.1710700
828,1195000,1950.0,41.3978985,2.1660924
830,990000,1925.0,41.3862920,2.1643285
834,708400,1900.0,41.3993248,2.1689363
836,1110000,1920.0,41.3954650,2.1710700
837,530000,1951.0,41.3880400,2.1700100
841,1500000,1998.0,41.3948000,2.1604100
843,245000,1930.0,41.4037600,2.1801400
844,660000,1910.0,41.3871560,2.1671720
847,545000,1925.0,41.3989640,2.1650180
848,995000,1940.0,41.3996660,2.1700930
850,1095000,1900.0,41.3907680,2.1760540
854,1690000,1877.0,41.3891230,2.1758150
855,648600,1900.0,41.4020222,2.1636882
858,520000,1936.0,41.3988380,2.1656760
859,375000,1973.0,41.3986141,2.1647423
864,368000,1963.0,41.3905213,2.1749532
865,1500000,1890.0,41.3918740,2.1754780
866,1380000,1900.0,41.3911030,2.1608980
867,860000,2000.0,41.3935000,2.1606900
870,1400000,1940.0,41.3997860,2.1697010
872,3000000,1900.0,41.3911371,2.1634999
877,1245000,1879.0,41.3907820,2.1672490
878,2685000,1939.0,41.3914140,2.1697770
879,1250000,2006.0,41.3900000,2.1700000
881,980000,1930.0,41.3974490,2.1671770
882,946000,1900.0,41.3946200,2.1698540
883,1175000,1900.0,41.3934770,2.1673470
885,445000,1890.0,41.3892900,2.1631400
886,2500000,2002.0,41.3943262,2.1615740
887,712000,1900.0,41.4018156,2.1639517
888,1500000,1998.0,41.3950360,2.1606470
889,298000,1940.0,41.4016868,2.1690319
891,657800,1900.0,41.4017437,2.1680714
894,779000,1900.0,41.3980890,2.1694900
895,890000,1945.0,41.3918750,2.1702380
896,800000,1910.0,41.3871560,2.1671720
897,3200000,1936.0,41.3934460,2.1759030
898,1850000,1887.0,41.3940530,2.1598980
899,585000,1940.0,41.3981200,2.1626380
900,1600000,1900.0,41.3954650,2.1710700
901,990000,1974.0,41.3955400,2.1628600
902,697000,1892.0,41.3963610,2.1688980
903,2200000,1920.0,41.3947750,2.1621960
905,824000,1900.0,41.3954650,2.1710700
906,794000,1900.0,41.3954650,2.1710700
907,840000,1900.0,41.3954650,2.1710700
908,764000,1900.0,41.3954650,2.1710700
910,854000,1900.0,41.3954650,2.1710700
911,810000,1900.0,41.3954650,2.1710700
912,465000,1996.0,41.3934770,2.1673470
913,750000,1900.0,41.3954650,2.1710700
914,2035000,1900.0,41.3954650,2.1710700
915,1115000,1968.0,41.3856087,2.1698211
916,915000,1940.0,41.3979780,2.1633820
918,780000,1935.0,41.3934770,2.1673470
919,975000,1900.0,41.3918630,2.1685100
920,1507462,1900.0,41.3929910,2.1774560
921,995000,1890.0,41.3914040,2.1786070
922,1875000,1902.0,41.3908550,2.1745380
925,750000,1900.0,41.3940000,2.1647300
927,368000,1963.0,41.3906787,2.1749601
928,475000,1968.0,41.3973300,2.1617950
931,1550000,1900.0,41.3917230,2.1791880
932,791200,1900.0,41.4020222,2.1636763
936,368000,1963.0,41.3884997,2.1775991
937,943200,1900.0,41.3929910,2.1774560
939,757019,1900.0,41.3929910,2.1774560
940,1063901,1900.0,41.3929910,2.1774560
942,1350000,2017.0,41.3916220,2.1624090
